New-York 2019
64emes de finale
Pulchartova_Laetitia Keller_Nadine
Trevisan_Martina Wang_Xinyu
Sabalenka_Aryna Primorac_Iva
Prisacariu_Andreea Plipuech_Peangtarn
Meyer_Luisa Silva_Eden
Hennemann_Caijsa Gillan_Alice
Vroome_Indy Paulina_Maria
Hosonuma_Chisa Stefani_Luisa
Brengle_Madison Szabanin_Natalia
Aney_Jessie Morita_Ayumi
Zacarias_Marcela Raducanu_Emma
Williams_Venus Hogenkamp_Richel
Bains_Naiktha Christie_Freya
Zantedeschi_Aurora Semenistaja_Darja
Payola_Julia Khazaniuk_Deniz
Katic_Vlada Ianchuk_Olga
Bonaventure_Ysaline Zheng_Saisai
Ferro_Fiona Konjuh_Ana
Vecic_Alexandra Jorge_Francisca
Herdzelas_Dea Kanev_Kathleen
Cascino_Estelle Contreras_Fernanda
Pliskova_Karolina Vismane_Daniela
Stearns_Peyton Baptiste_Hailey
Hibino_Nao Han_Xinyun
Dentoni_Corinna Carreras_Amanda
Proctor_Lauren Chernyshova_Maryna
Ganz_Fiona Smith_Tina
Muhammad_Asia Haas_Barbara
Olmos_Giuliana Giorgi_Camila
Yastremska_Dayana Tran_Lian
Fernandez_Leylah Morderger_Yana
KrejCikova_Barbora Lee_Eunhye
Matviyenko_Lisa Marfutina_Maria
Price_Gabriella Appleton_Emily
Arakawa_Haruna Jacquemot_Elsa
Navarro_Emma Viertler_Marion
Cepede_Veronica Lys_Eva
Han_Na-lae Kenin_Sofia
Raggi_Angelica Olyanovskaya_Valeriya
Douglas_Ellie Custic_Marta
Kawaguchi_Natsumi Bilardo_Federica
Shoshyna_Anastasiya Sanesi_Gaia
Potapova_Anastasia Fiquet_Tiphanie
Yashina_Ekaterina Sizikova_Yana
Kostyuk_Marta Kanepi_Kaia
Lodikova_Daria Nuudi_Maileen
Ureke_Anna Colmegna_Martina
Vekic_Donna Gracheva_Varvara
Korpatsch_Tamara Yushchenko_Valeriya
Carrillo_Alba Dmitrichenko_Yekaterina
Ostlund_Fanny Cristian_Jaqueline
Giovine_Claudia Kurata_Nathaly
Leykina_Polina Kruger_Zoe
Andreescu_Bianca Demidova_Diana
Pellicano_Helene Bronzetti_Lucia
Vangelova_Ani Ponomar_Lisa
Volynets_Katie Cakarevic_Sara
Papamichail_Despina Kvitova_Petra
Shimizu_Ayano Zhu_Amy
Linette_Magda Rodriguez_Victoria
Werner_Caroline Pislak_Manca
Bechri_Chiraz Gadecki_Olivia
