definir_nombre_tournois 4
enregistrement_tournoi Londres 2019
Kania_Paula Sato_Naho
Demidova_Diana Sun_Ziyue
Frech_Magdalena Barnett_Alicia
Primorac_Iva Loredana_Ioana
Hourigan_Paige Lourdes_Maria
Jaruskova_Timea Kennel_Karin
Scala_Camilla Babel_Oceane
Udvardy_Panna Custic_Marta
Abe_Hiromi Ozeki_Michika
Fernandez_Leylah Errani_Sara
Lemoine_Quirine Luangnam_Nudnida
Lim_Alize Ghitescu_Andreea
Wildgruber_Anja Sugnaux_Tess
Branstine_Carson Terziyska_Julia
Salvi_Linda Benoit_Marie
Bondar_Anna Abduraimova_Nigina
Jorovic_Ivana Manasse_Maegan
Vukovic_Draginja Lee_Gabriela
Tanaka_Yuuki Brouleau_Lou
Bozovic_Alexandra Saidenova_Noel
Bellis_Catherine Avdeeva_Julia
Saner_Julita Zhu_Amy
Zacarias_Marcela Kanapatskaya_Viktoriya
Murta_Ines Brito_Fernanda
Samsonova_Ludmilla Kraus_Sinja
Broady_Naomi Bronzetti_Lucia
Lazaro_Andrea Pieri_Tatiana
Topalova_Gergana Berankova_Karolina
Flink_Varvara Cristina_Paula
Sakkari_Maria Brancaccio_Nuria
Kuwata_Hiroko Klincov_Bojana
Hogenkamp_Richel Pulchartova_Laetitia
Van_Chanelle Klaffner_Melanie
Bondarenko_Maria Lantigua_Ana
Scilipoti_Sebastianna Vecic_Alexandra
Duval_Victoria Komardina_Anastasiya
Arakawa_Haruna Vandeweghe_CoCo
Ruse_Elena-Gabriela Sharipova_Sabina
Kozarov_Katarina Ponchet_Jessika
Waltert_Simona Payola_Julia
Morvayova_Viktoria Aikawa_Mayuka
Wang_Qiang Graham_Alexa
Hon_Priscilla Bilardo_Federica
Isaeva_Anhzelika Crescenzi_Giulia
McHale_Christina Naya_Guillermina
Tang_Qianhui Cortez_Lucia
Ene_Cristina Kozlova_Kateryna
Parazinskaite_Akvile Namigata_Junri
Bouzas_Jessica Spigarelli_Martina
Hsieh_Su-wei Bejlek_Sara
Cascino_Estelle Pachkaleva_Taisya
Maristany_Guiomar Kolzer_Romy
Marand_Sanaz Cherubini_Diletta
Bartunkova_Nikola Woo_Yeon
Yi_Ya Kovinic_Danka
Doroshina_Olga Garcia_Georgina
Milovanovic_Elena Baptiste_Hailey
Schoofs_Bibiane Diatchenko_Vitalia
Chang_Han-na Fernanda_Maria
Harrison_Catherine Ignatik_Alexandra
Lao_Danielle Uslu_Ozlem
Day_Kayla Inglis_Maddison
Ponomar_Lisa Detiuc_Anastasia
Stojanovic_Nina Sakellaridi_Sapfo
Demidova_Diana Kania_Paula
Primorac_Iva Frech_Magdalena
Jaruskova_Timea Hourigan_Paige
Scala_Camilla Udvardy_Panna
Fernandez_Leylah Abe_Hiromi
Lemoine_Quirine Lim_Alize
Branstine_Carson Wildgruber_Anja
Bondar_Anna Salvi_Linda
Jorovic_Ivana Vukovic_Draginja
Tanaka_Yuuki Bozovic_Alexandra
Saner_Julita Bellis_Catherine
Murta_Ines Zacarias_Marcela
Samsonova_Ludmilla Broady_Naomi
Topalova_Gergana Lazaro_Andrea
Sakkari_Maria Flink_Varvara
Hogenkamp_Richel Kuwata_Hiroko
Bondarenko_Maria Van_Chanelle
Scilipoti_Sebastianna Duval_Victoria
Ruse_Elena-Gabriela Arakawa_Haruna
Waltert_Simona Kozarov_Katarina
Wang_Qiang Morvayova_Viktoria
Isaeva_Anhzelika Hon_Priscilla
McHale_Christina Tang_Qianhui
Ene_Cristina Parazinskaite_Akvile
Bouzas_Jessica Hsieh_Su-wei
Maristany_Guiomar Cascino_Estelle
Bartunkova_Nikola Marand_Sanaz
Doroshina_Olga Yi_Ya
Schoofs_Bibiane Milovanovic_Elena
Harrison_Catherine Chang_Han-na
Day_Kayla Lao_Danielle
Stojanovic_Nina Ponomar_Lisa
Demidova_Diana Primorac_Iva
Scala_Camilla Jaruskova_Timea
Fernandez_Leylah Lemoine_Quirine
Bondar_Anna Branstine_Carson
Jorovic_Ivana Tanaka_Yuuki
Murta_Ines Saner_Julita
Topalova_Gergana Samsonova_Ludmilla
Hogenkamp_Richel Sakkari_Maria
Bondarenko_Maria Scilipoti_Sebastianna
Waltert_Simona Ruse_Elena-Gabriela
Wang_Qiang Isaeva_Anhzelika
McHale_Christina Ene_Cristina
Maristany_Guiomar Bouzas_Jessica
Bartunkova_Nikola Doroshina_Olga
Schoofs_Bibiane Harrison_Catherine
Day_Kayla Stojanovic_Nina
Scala_Camilla Demidova_Diana
Fernandez_Leylah Bondar_Anna
Murta_Ines Jorovic_Ivana
Topalova_Gergana Hogenkamp_Richel
Waltert_Simona Bondarenko_Maria
Wang_Qiang McHale_Christina
Bartunkova_Nikola Maristany_Guiomar
Day_Kayla Schoofs_Bibiane
Fernandez_Leylah Scala_Camilla
Murta_Ines Topalova_Gergana
Wang_Qiang Waltert_Simona
Bartunkova_Nikola Day_Kayla
Fernandez_Leylah Murta_Ines
Bartunkova_Nikola Wang_Qiang
Bartunkova_Nikola Fernandez_Leylah
enregistrement_tournoi New-York 2019
Tang_Qianhui Hirata_Ayumi
Falconi_Irina Spigarelli_Martina
Zidansek_Tamara Payola_Julia
Meliss_Verena Juvan_Kaja
Bassols_Marina Bouzkova_Marie
Podoroska_Nadia Hondo_Sakura
Avdeeva_Julia Cornet_Alize
Evtimova_Dia Salkova_Dominika
Abanda_Françoise Sama_Sathwika
Danilovic_Olga Fita_Angela
Taylor_Gabriella Diyas_Zarina
Nahimana_Sada Siskova_Anna
Kozlova_Kateryna Rossi_Federica
Kurata_Nathaly Lemoine_Quirine
Babic_Vladica Andreeva_Erika
Gjorcheska_Lina Appleton_Emily
Gavrilova_Daria Koval_Vlada
Rusova_Alica Milovanovic_Elena
Georgeta_Oana Miklova_Barbora
Bandecchi_Susan Gonzalez_Montserrat
Burrage_Jodie Sharipova_Sabina
Lu_Jiaxi Mishina_Daria
Putintseva_Yulia Gatica_Barbara
Laskutova_Ksenia Ferro_Fiona
Ghitescu_Andreea Vikhlyantseva_Natalia
Montez_Pamela Antonitsch_Mira
Day_Kayla Cadar_Elena-teodora
Terziyska_Julia Radisic_Nika
Perez_Estela Douglas_Ellie
Osaka_Mari Tauson_Clara
Radwanska_Urszula Gauff_Cori
Carter_Hayley Ivanova_Dasha
Teichmann_Jil Bosio_Victoria
Osaka_Naomi Fett_Jana
Vlasselaer_Clara Gamiz_Andrea
Parazinskaite_Akvile Hayashi_Erina
Ramialison_Irina Guerrero_Eva
Giorgi_Camila Rogers_Shelby
Kawaguchi_Natsumi sramkova_Rebecca
Hosogi_Sakura Ormaechea_Paula
Da_Gabriella Govortsova_Olga
Bhosale_Rutuja Anderson_Robin
Cocciaretto_Elisabetta Hewitt_Dalayna
Hsieh_Su-wei Cortez_Lucia
Townsend_Taylor Peng_Shuai
Yushchenko_Valeriya Wagner_Stephanie
Ahn_Kristie Tan_Harmony
Flipkens_Kirsten Choi_Ji-hee
Samavati_Sofia Lindh_Emilie
Sun_Xuliu Siedliska_Natalia
Tjandramulia_Olivia Makarova_Ekaterina
Wang_Qiang Gram_Olivia
Perez_Ellen Giovine_Claudia
Cascino_Estelle Giuseppe_Martina 
Osuigwe_Whitney Simmonds_Chanel
Fourlis_Jaimee Kozyreva_Maria
Kuznetsova_Svetlana Swan_Katie
Kimmelmann_Julia Guo_Shanshan
Kubka_Martyna Defalco_Jenna
Saigo_Yukina Smitkova_Tereza
Pellicano_Helene Guo_Meiqi
Sekulic_Sarah-Rebecca Pieri_Tatiana
Arruabarrena_Lara Dmitrichenko_Yekaterina
Paoletti_Matilde Noel_Alexa
Falconi_Irina Tang_Qianhui
Meliss_Verena Zidansek_Tamara
Podoroska_Nadia Bassols_Marina
Avdeeva_Julia Evtimova_Dia
Danilovic_Olga Abanda_Françoise
Nahimana_Sada Taylor_Gabriella
Kurata_Nathaly Kozlova_Kateryna
Babic_Vladica Gjorcheska_Lina
Rusova_Alica Gavrilova_Daria
Georgeta_Oana Bandecchi_Susan
Lu_Jiaxi Burrage_Jodie
Putintseva_Yulia Laskutova_Ksenia
Montez_Pamela Ghitescu_Andreea
Terziyska_Julia Day_Kayla
Perez_Estela Osaka_Mari
Radwanska_Urszula Carter_Hayley
Teichmann_Jil Osaka_Naomi
Parazinskaite_Akvile Vlasselaer_Clara
Ramialison_Irina Giorgi_Camila
Hosogi_Sakura Kawaguchi_Natsumi
Bhosale_Rutuja Da_Gabriella
Hsieh_Su-wei Cocciaretto_Elisabetta
Townsend_Taylor Yushchenko_Valeriya
Flipkens_Kirsten Ahn_Kristie
Sun_Xuliu Samavati_Sofia
Wang_Qiang Tjandramulia_Olivia
Cascino_Estelle Perez_Ellen
Fourlis_Jaimee Osuigwe_Whitney
Kuznetsova_Svetlana Kimmelmann_Julia
Kubka_Martyna Saigo_Yukina
Pellicano_Helene Sekulic_Sarah-Rebecca
Arruabarrena_Lara Paoletti_Matilde
Meliss_Verena Falconi_Irina
Avdeeva_Julia Podoroska_Nadia
Nahimana_Sada Danilovic_Olga
Kurata_Nathaly Babic_Vladica
Georgeta_Oana Rusova_Alica
Lu_Jiaxi Putintseva_Yulia
Montez_Pamela Terziyska_Julia
Perez_Estela Radwanska_Urszula
Parazinskaite_Akvile Teichmann_Jil
Hosogi_Sakura Ramialison_Irina
Hsieh_Su-wei Bhosale_Rutuja
Flipkens_Kirsten Townsend_Taylor
Sun_Xuliu Wang_Qiang
Cascino_Estelle Fourlis_Jaimee
Kubka_Martyna Kuznetsova_Svetlana
Arruabarrena_Lara Pellicano_Helene
Meliss_Verena Avdeeva_Julia
Nahimana_Sada Kurata_Nathaly
Lu_Jiaxi Georgeta_Oana
Perez_Estela Montez_Pamela
Hosogi_Sakura Parazinskaite_Akvile
Hsieh_Su-wei Flipkens_Kirsten
Cascino_Estelle Sun_Xuliu
Kubka_Martyna Arruabarrena_Lara
Nahimana_Sada Meliss_Verena
Lu_Jiaxi Perez_Estela
Hosogi_Sakura Hsieh_Su-wei
Cascino_Estelle Kubka_Martyna
Nahimana_Sada Lu_Jiaxi
Hosogi_Sakura Cascino_Estelle
Hosogi_Sakura Nahimana_Sada
enregistrement_tournoi Melbourne 2020
Broady_Naomi Payola_Julia
Gadient_Nicole Quadre_Barakat
Bucsa_Cristina Charaeva_Alina
Shinikova_Isabella Branstine_Carson
Lindh_Emilie Stokke_Melanie
Krawczyk_Desirae Inglis_Maddison
Yang_Yidi Sawangkaew_Mananchaya
Kulambayeva_Zhibek Arseneault_Ariana
Vecic_Alexandra Noel_Alexa
Kruger_Zoe Kozlova_Kateryna
Bassols_Marina Kimmelmann_Julia
Pigato_Lisa Wirges_Angelina
Struplova_Julie Flink_Varvara
Milovanovic_Elena Taylor_Gabriella
Webley-Smith_Emily Mikulskyte_Justina
Stadler_Nina Lao_Danielle
Aney_Jessie Loeb_Jamie
Shoshyna_Anastasiya Ayukawa_Mana
Tere-Apisah_Abigail Chiesa_Deborah
Townsend_Taylor Babos_Timea
Kuzmova_Viktoria Bellis_Catherine
Siedliska_Natalia Bouzo_Noelia
Sharma_Astra Hontama_Mai
Hsu_Chieh-yu Koval_Vlada
Choi_Ji-hee Al-Nabhani_Fatma
MaleCkova_Jesika Mandlik_Elizabeth
Arcidiacono_Federica Belgraver_Julie
Christie_Freya Monroy_Yuliana
Cabaj_Jacqueline Stevens_Lexie
Cornet_Alize Raggi_Angelica
Noel_Mallaurie Burel_Clara
Bejlek_Sara Cako_Jacqueline
Kilnarova_Monica Contreras_Fernanda
Boisson_Lois Hon_Priscilla
Hradecka_Lucie Evtimova_Dia
Mertens_Elise Kudermetova_Veronika
Monnet_Carole Teichmann_Jil
Kostova_Elitsa Giovine_Claudia
Udvardy_Panna Mansouri_Yasmine
Kalita_Anhelina Rogers_Shelby
Burger_Cindy Cervino_Celia
Armitano_Mathilde Kinard_Tori
Katic_Vlada Vidmanova_Darja
Pliskova_Karolina Babel_Oceane
Sutjiadi_Aldila Spigarelli_Martina
Ma_Ye-Xin Mladenovic_Kristina
Bouzas_Jessica Bihan_Kelia
Ruzic_Antonia Scholl_Chiara
Chang_Sophie Sugnaux_Tess
Djakovic_Mihaela Sanz-Llaneza_Almudena
Vasilescu_Arina Jandakate_Chompoothip
Gavrilova_Daria Christensen_Elle
Turati_Bianca Kudermetova_Polina
Wargnier_Lucie Vangelova_Ani
Ortenzi_Jazmin Bhunu_Valeria
Kubareva_Anna Yi_Ya
Silich_Alina Carter_Hayley
Inoue_Miyabi Benoit_Marie
Yadav_Mihika Demidova_Diana
Gavrila_Oana Cavalle-Reimers_Yvonne
Naef_Celine Min_Grace
Parrizas_Nuria Karunaratne_Adithya
Stevanovic_Natalija Keller_Nadine
Hives_Zoe Camila_Maria
Broady_Naomi Gadient_Nicole
Shinikova_Isabella Bucsa_Cristina
Lindh_Emilie Krawczyk_Desirae
Yang_Yidi Kulambayeva_Zhibek
Vecic_Alexandra Kruger_Zoe
Bassols_Marina Pigato_Lisa
Milovanovic_Elena Struplova_Julie
Webley-Smith_Emily Stadler_Nina
Shoshyna_Anastasiya Aney_Jessie
Tere-Apisah_Abigail Townsend_Taylor
Kuzmova_Viktoria Siedliska_Natalia
Hsu_Chieh-yu Sharma_Astra
Choi_Ji-hee MaleCkova_Jesika
Christie_Freya Arcidiacono_Federica
Cornet_Alize Cabaj_Jacqueline
Noel_Mallaurie Bejlek_Sara
Boisson_Lois Kilnarova_Monica
Hradecka_Lucie Mertens_Elise
Monnet_Carole Kostova_Elitsa
Kalita_Anhelina Udvardy_Panna
Armitano_Mathilde Burger_Cindy
Pliskova_Karolina Katic_Vlada
Ma_Ye-Xin Sutjiadi_Aldila
Ruzic_Antonia Bouzas_Jessica
Chang_Sophie Djakovic_Mihaela
Gavrilova_Daria Vasilescu_Arina
Wargnier_Lucie Turati_Bianca
Ortenzi_Jazmin Kubareva_Anna
Inoue_Miyabi Silich_Alina
Gavrila_Oana Yadav_Mihika
Parrizas_Nuria Naef_Celine
Hives_Zoe Stevanovic_Natalija
Shinikova_Isabella Broady_Naomi
Lindh_Emilie Yang_Yidi
Vecic_Alexandra Bassols_Marina
Webley-Smith_Emily Milovanovic_Elena
Shoshyna_Anastasiya Tere-Apisah_Abigail
Hsu_Chieh-yu Kuzmova_Viktoria
Christie_Freya Choi_Ji-hee
Cornet_Alize Noel_Mallaurie
Hradecka_Lucie Boisson_Lois
Kalita_Anhelina Monnet_Carole
Pliskova_Karolina Armitano_Mathilde
Ruzic_Antonia Ma_Ye-Xin
Chang_Sophie Gavrilova_Daria
Wargnier_Lucie Ortenzi_Jazmin
Inoue_Miyabi Gavrila_Oana
Parrizas_Nuria Hives_Zoe
Lindh_Emilie Shinikova_Isabella
Webley-Smith_Emily Vecic_Alexandra
Hsu_Chieh-yu Shoshyna_Anastasiya
Christie_Freya Cornet_Alize
Hradecka_Lucie Kalita_Anhelina
Pliskova_Karolina Ruzic_Antonia
Wargnier_Lucie Chang_Sophie
Inoue_Miyabi Parrizas_Nuria
Webley-Smith_Emily Lindh_Emilie
Christie_Freya Hsu_Chieh-yu
Hradecka_Lucie Pliskova_Karolina
Wargnier_Lucie Inoue_Miyabi
Christie_Freya Webley-Smith_Emily
Wargnier_Lucie Hradecka_Lucie
Wargnier_Lucie Christie_Freya
enregistrement_tournoi Paris 2020
Bolsova_Aliona Bosio_Victoria
Hirata_Ayumi Chirico_Louisa
Sema_Erika Bellis_Catherine
Suarez_Carla Ganga_Eugenia
Hourigan_Paige Hondo_Sakura
Drummy_Georgia Cavalle-Reimers_Yvonne
Lourdes_Maria Ureke_Anna
Maria_Patricia Haddad_Beatriz
Birrell_Kimberly Hon_Priscilla
Korpatsch_Tamara Davis_Emma
Dulgheru_Alexandra Schunk_Nastasja
Kuzmova_Katarina Yadav_Mihika
Hogenkamp_Richel Nagy_Adrienn
Eraydin_Basak Ainitdinova_Gozal
Chiesa_Deborah Miyazaki_Yuriko
MarcinkeviCa_Diana Dema_Viktoriia
Fernandez_Leylah Hayashi_Erina
Giavara_Haley Jabeur_Ons
Bouzo_Noelia Zanevska_Maryna
Siegemund_Laura Plazas_Jessica
Failla_Jessica Min_Grace
Sanz-Llaneza_Almudena Gao_Xinyu
Ce_Gabriela Gadecki_Olivia
Visscher_Stephanie Zhang_Yuxuan
Saner_Julita Karatantcheva_Sesil
Duerst_Jenny Nuudi_Maileen
Molinaro_Eleonora Kulambayeva_Zhibek
Naito_Yuki Lene_Emma
Colmegna_Martina Akugue_Noma
Hodzic_Mina Cornet_Alize
Kawamura_Mana Radanovic_Dejana
Zhang_Ying Kobori_Momoko
Hartono_Arianne Vanhoutte_Chelsea
Rodriguez_Victoria Atucha_Ainhoa
Bonaventure_Ysaline Linette_Magda
Ponomar_Lisa Bozovic_Alexandra
Sakatsume_Himeno Gabric_Anna
Curovic_Tamara Hosogi_Sakura
Lansere_Sofya Bjorklund_Mirjam
Waltert_Simona Boulter_Katie
Jang_Su-Jeong Tsurenko_Lesia
McHale_Christina Herdzelas_Dea
Thandi_Karman Samir_Sandra
Zheng_Wushuang Bartunkova_Nikola
Sarra_Federica Jovic_Jovana
Putintseva_Yulia Gamarra_Ingrid
Kontaveit_Anett Capurro_Martina
Swan_Katie Loredana_Ioana
Badosa_Paula Kostyuk_Marta
Seguel_Daniela Anisimova_Amanda
Carrillo_Alba Murray_Samantha
Aiava_Destanee Ramialison_Irina
Bilardo_Federica Lazaro_Andrea
Bhunu_Valeria Yepifanova_Alexandra
Eala_Alexandra Ukolova_Anna
Osuigwe_Whitney Kimchi_Shavit
Cabrera_Lizette Govortsova_Olga
Kudermetova_Veronika Bassols_Marina
Appleton_Emily Fetecau_Irina
Inglis_Maddison Lao_Danielle
Shalimova_Ekaterina Kudermetova_Polina
Andrianjafitrimo_Tessah Khromacheva_Irina
Ruzic_Antonia Han_Xinyun
Detiuc_Anastasia Hosonuma_Chisa
Hirata_Ayumi Bolsova_Aliona
Suarez_Carla Sema_Erika
Hourigan_Paige Drummy_Georgia
Maria_Patricia Lourdes_Maria
Korpatsch_Tamara Birrell_Kimberly
Dulgheru_Alexandra Kuzmova_Katarina
